,id,name,aka,link,image_url,worked_as,worked_in,DOB,MOB,YOB,DOD,MOD,YOD
71,1350,Dolores Ehlers,,https://wfpp.columbia.edu/person/dolores-ehlers/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-ELH01.jpg,camera operator|director|filmmaker>documentary maker|equipment sales|filmmaker>ethnographic filmmaker|government department head|laboratory worker|visual artist>photographer|producer,Mexico|United States,17,October,1896.0,13,December,1983.0
72,4692,Dorothea Baird,Mrs. H.B. Iriving,https://wfpp.columbia.edu/person/dorothea-baird/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-BAI03.jpg,actress>film actress|writer>screenwriter|actress>theatre actress,Great Britain,20,May,1875.0,24,September,1933.0
73,20799,Dorothea Donn-Byrne,Dolly Byrne|Dolly Donn-Byrne|Dolly Donn Byrne|Dorothea Cadogan|Dorothea Donn Byrne|Dorothea Mary Cadogan|Dorothea Mary Elizabeth Antonia Cadogan|Dorothea Mary Elizabeth Cadogan Byrne|Dorothy Cadogan|Dorothy Craig|Dorothy Mary Cadogan|Mrs. Donn Byrne.,https://wfpp.columbia.edu/person/dorothea-donn-byrne/,https://wfpp.columbia.edu/wp-content/uploads/2020/01/Dorothea-featured-image.jpg,adapter|writer>source author>original story writer|writer>playwright|actress>theatre actress,Great Britain|Ireland|United States,,,1888.0,,,1963.0
74,13054,Dorothea Mitchell,“Lady Lumberjack”,https://wfpp.columbia.edu/person/dorothea-mitchell/,https://wfpp.columbia.edu/wp-content/uploads/2016/07/WFP2-MIT03-featured-image.jpg,filmmaker>amateur filmmaker|amateur filmmaking club co-founder|camera operator|director|editor|actress>film actress|film society co-founder|producer|writer>screenwriter|writer>source author|title writer,Canada,1,June,1877.0,2,February,1976.0
75,1435,Dorothy Arzner,,https://wfpp.columbia.edu/person/dorothy-arzner/,https://wfpp.columbia.edu/wp-content/uploads/Arzner_CCP_FIG106_WFP-ARZ141.jpg,director|editor>film cutter|writer>screenwriter,United States,3,January,1897.0,1,October,1979.0
76,1441,Dorothy Davenport Reid,Dorothy Davenport|Mrs. Wallace Reid|Jr.|Dorothy Reid,https://wfpp.columbia.edu/person/dorothy-davenport-reid/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/How_Women_Worked_Fig5_WFP-DAV041-covercrop.jpg,director|actress>film actress|producer|writer>screenwriter,United States,13,March,1895.0,12,October,1977.0
77,1450,Dorothy Farnum,Mrs. Maurice Barber,https://wfpp.columbia.edu/person/dorothy-farnum/,https://wfpp.columbia.edu/wp-content/uploads/CCP_Farnum_FIG134B_WFP-FARN011-e1322805644298.jpg,adapter|actress>film actress|writer>scenario writer|writer>screenwriter,Great Britain|France|United States,10,June,1896.0,,January,1970.0
78,1453,Dorothy Gordon,Andrea Dorothy Gordon Jenner|Andrea,https://wfpp.columbia.edu/person/dorothy-gordon/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP-GOR06portrait.jpg,art director|chorus girl|writer>screenwriter>co-screenwriter|dressmaker|extra|actress>film actress|production assistant|reader|stunt person,Australia|United States,1,March,1891.0,24,March,1985.0
79,1454,Dorothy Yost,Mrs. Dwight Cummings,https://wfpp.columbia.edu/person/dorothy-yost/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-YOS011.jpg,adapter|writer>novelist|reader|writer>scenario writer|writer>screenwriter|secretary|title writer,United States,25,April,1899.0,10,June,1967.0
80,1457,Dot Farley,Dorothea Farley|Dorothy Farley,https://wfpp.columbia.edu/person/dot-farley/,https://wfpp.columbia.edu/wp-content/uploads/2011/11/WFP-FAR01.jpg,director|actress>film actress|actress>musical comedy actress|writer>scenario writer|writer>screenwriter,United States,6,February,1881.0,2,May,1971.0
81,1110,Drusilla Dunjee Houston,,https://wfpp.columbia.edu/person/drusilla-dunjee-houston/,,writer>journalist|musician|writer>screenwriter,United States,20,January,1876.0,8,February,1941.0
82,1458,Elena Sánchez Valenzuela,,https://wfpp.columbia.edu/person/elena-sanchez-valenzuela/,https://wfpp.columbia.edu/wp-content/uploads/CCP_FIG259_Sanchez_WFP-SANC011.jpg,director|filmmaker>documentary maker|actress>film actress|critic>film critic|writer>journalist|preservationist,Mexico,,,1900.0,,,1950.0
83,14097,Eliane Tayar,,https://wfpp.columbia.edu/person/eliane-tayar/,https://wfpp.columbia.edu/wp-content/uploads/2017/04/WFP2-TAY01.jpg,director>assistant director|director>co-director|filmmaker>documentary maker|extra|actress>film actress|critic>film critic|writer>journalist|writer>screenwriter,France,18,July,1904.0,6,September,1986.0
84,1459,Elinor Glyn,Elinor Sutherland|Madame Glyn,https://wfpp.columbia.edu/person/elinor-glyn/,https://wfpp.columbia.edu/wp-content/uploads/Glyn_CCP_FIG141_WFP-GLY021.jpg,adapter|consultant|director|extra|film company owner|writer>journalist|writer>novelist|producer|production supervisor|writer>screenwriter|writer>source author,Great Britain|United States,17,October,1864.0,23,September,1943.0
85,21479,Élisabeth Thuillier,Élisabeth Aléné|Veuve Thuillier,https://wfpp.columbia.edu/person/elisabeth-thuillier/,,film colorist,France,,,1841.0,7,July,1907.0
