,ID,Name,Pseudonyms,Link,Picture,Jobs,Born,Died,Lived in
69,17058,Kathleen Romoli,Kathleen Martin|Kathleen Whitnack|Kathleen Avery,https://wfpp.columbia.edu/person/kathleen-romoli/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP-ROM01.jpg,anthropologist|filmmaker|scholar|filmmaker|writer,1897,1979,Colombia
70,1626,Thea Červenková,Terezie Červenková|lady crazy about film.,https://wfpp.columbia.edu/person/thea-cervenkova/,,director|filmmaker|actress|film company founding partner|film company owner|critic|writer|producer,1882,1961,Czechoslovakia
71,21382,Suzanne Marwille,Marta Schölerová,https://wfpp.columbia.edu/person/suzanne-marwille/,https://wfpp.columbia.edu/wp-content/uploads/2020/04/WFP2-MAR09.jpg,actress|writer,1895,1962,Czechoslovakia
72,21382,Suzanne Marwille,Marta Schölerová,https://wfpp.columbia.edu/person/suzanne-marwille/,https://wfpp.columbia.edu/wp-content/uploads/2020/04/WFP2-MAR09.jpg,actress|writer,1895,1962,Germany
73,14793,Asta Nielsen,Asta Nielsen-Gad,https://wfpp.columbia.edu/person/asta-nielsen-2/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-NIE05.jpg,actress|film company owner|producer,1881,1972,Denmark
74,14793,Asta Nielsen,Asta Nielsen-Gad,https://wfpp.columbia.edu/person/asta-nielsen-2/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-NIE05.jpg,actress|film company owner|producer,1881,1972,Germany
75,17864,Emilie Sannom,Mille|Emilie Kristine Valborg Sannom,https://wfpp.columbia.edu/person/emilie-sannom/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP2-SANN07-e1544821231224.jpg,actress|writer|designer|stunt person,1886,1931,Denmark
76,17864,Emilie Sannom,Mille|Emilie Kristine Valborg Sannom,https://wfpp.columbia.edu/person/emilie-sannom/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP2-SANN07-e1544821231224.jpg,actress|writer|designer|stunt person,1886,1931,Germany
77,17864,Emilie Sannom,Mille|Emilie Kristine Valborg Sannom,https://wfpp.columbia.edu/person/emilie-sannom/,https://wfpp.columbia.edu/wp-content/uploads/2018/11/WFP2-SANN07-e1544821231224.jpg,actress|writer|designer|stunt person,1886,1931,Italy
78,1705,Aud Egede-Nissen,Mrs. Georg Alexander|Aug Egede-Nissen|Aud Richter|Mrs. Paul Richter,https://wfpp.columbia.edu/person/aud-egede-nissen/,https://wfpp.columbia.edu/wp-content/uploads/2012/01/WFP2-EGE01.jpg,actress|film company owner|producer,1893,1974,Denmark
79,1705,Aud Egede-Nissen,Mrs. Georg Alexander|Aug Egede-Nissen|Aud Richter|Mrs. Paul Richter,https://wfpp.columbia.edu/person/aud-egede-nissen/,https://wfpp.columbia.edu/wp-content/uploads/2012/01/WFP2-EGE01.jpg,actress|film company owner|producer,1893,1974,Germany
80,1705,Aud Egede-Nissen,Mrs. Georg Alexander|Aug Egede-Nissen|Aud Richter|Mrs. Paul Richter,https://wfpp.columbia.edu/person/aud-egede-nissen/,https://wfpp.columbia.edu/wp-content/uploads/2012/01/WFP2-EGE01.jpg,actress|film company owner|producer,1893,1974,Norway
81,1370,Gerd Egede-Nissen,,https://wfpp.columbia.edu/person/gerd-egede-nissen/,,actress,1895,1988,Denmark
82,1370,Gerd Egede-Nissen,,https://wfpp.columbia.edu/person/gerd-egede-nissen/,,actress,1895,1988,Germany
83,1370,Gerd Egede-Nissen,,https://wfpp.columbia.edu/person/gerd-egede-nissen/,,actress,1895,1988,Norway
84,14908,Harriet Bloch,Harriet Fussing,https://wfpp.columbia.edu/person/harriet-bloch/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-BLO01.jpg,writer,1881,1975,Denmark
85,14908,Harriet Bloch,Harriet Fussing,https://wfpp.columbia.edu/person/harriet-bloch/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-BLO01.jpg,writer,1881,1975,Germany
86,14908,Harriet Bloch,Harriet Fussing,https://wfpp.columbia.edu/person/harriet-bloch/,https://wfpp.columbia.edu/wp-content/uploads/2017/06/WFP2-BLO01.jpg,writer,1881,1975,Sweden
87,1629,Valda Valkyrien,Baroness Dewitz|Baroness Von Dewitz|Adele Frede|Mrs. Adele Stuart Otto|Mademoiselle Valkyrien,https://wfpp.columbia.edu/person/valda-valkyrien/,https://wfpp.columbia.edu/wp-content/uploads/Valkyrien_CCP_FIG242_WFP-VAL011.jpg,actress|producer,1894,1956,Denmark
88,1629,Valda Valkyrien,Baroness Dewitz|Baroness Von Dewitz|Adele Frede|Mrs. Adele Stuart Otto|Mademoiselle Valkyrien,https://wfpp.columbia.edu/person/valda-valkyrien/,https://wfpp.columbia.edu/wp-content/uploads/Valkyrien_CCP_FIG242_WFP-VAL011.jpg,actress|producer,1894,1956,United States
89,1399,Blanche MacIntosh,Blanche MacIntosh Hubbard|Blanche Mary MacIntosh|Blanche McIntosh,https://wfpp.columbia.edu/person/blanche-macintosh/,,adapter|reader|writer,1877,1954,England
90,1408,Caroline Lejeune,C.A. L.|C.A. Lejeune|Mrs. Edward Roffe Thompson,https://wfpp.columbia.edu/person/caroline-lejeune/,,critic,1897,1973,England
91,4692,Dorothea Baird,Mrs. H.B. Iriving,https://wfpp.columbia.edu/person/dorothea-baird/,https://wfpp.columbia.edu/wp-content/uploads/2013/08/WFP2-BAI03.jpg,actress|writer,1875,1933,England
92,9897,Encarnacion Rosa Scott,Mrs. Walter Comrie Scott,https://wfpp.columbia.edu/person/encarnacion-rosa-scott/,,distributor|film company shareholder|,1887,1953,England
93,1474,Enid Lorimer,Enid Bosworth Nunn|Mrs. Wentworth Zerffi,https://wfpp.columbia.edu/person/enid-lorimer/,,business partner|writer|scenarist|actress|entrepreneur,1887,1982,England
94,1529,Gwladys, Marchioness of Townshend|G.E.G.E. Townshend of Raynham|The Marchioness of Townshend of Raynham|Gwladys Ethel Gwendolen Eugénie Sutherst|Gladys Ethyl Gwendolen Eugenia Sutherst Townshend,https://wfpp.columbia.edu/person/gwladys-marchioness-of-townshend/,https://wfpp.columbia.edu/wp-content/uploads/2012/02/WFP2-TOW2Dcovercrop.jpg,writer,1884,1959,England
95,1534,Henderina Victoria Scott,Henderina (Rina) Victoria Klaassen|Mrs. D. H. Scott|Rina Scott,https://wfpp.columbia.edu/person/henderina-victoria-scott/,,cinematographer,1862,1929,England
96,1539,Jackeydawra Melford,Mrs. Wallace Colgate|Alice Bradshaw Jackeydora Melford,https://wfpp.columbia.edu/person/jackeydawra-melford/,https://wfpp.columbia.edu/wp-content/uploads/2016/11/WFP2-MELF01.jpg,director|actress|producer,1888,1984,England
97,1543,Jessica Elvira Borthwick,Jessie Borthwick|Nell Foy,https://wfpp.columbia.edu/person/jessica-elvira-borthwick/,https://wfpp.columbia.edu/wp-content/uploads/2013/09/WFP2-BORT03-featured-image-e1510932477927.jpg,lecturer|cinematographer|visual artist,1888,1946,England
